source,category,complex_count,fraction_within_source
RCSB PDB,"E3:PDB experimental complex, 51 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 126 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 48 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 180 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 163 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 178 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 78 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 132 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 145 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 18 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 182 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 36 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 135 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 207 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 129 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 152 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 124 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 5 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 181 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 49 contact atom pairs <=5A",5,0.002840909090909091
RCSB PDB,"E3:PDB experimental complex, 341 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 167 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 148 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 334 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 143 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 411 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 236 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 172 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 139 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 215 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 222 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 187 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 43 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 39 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 101 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 11 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 208 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 151 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 106 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 219 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 34 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 30 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 14 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 125 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 118 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 192 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 12 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 56 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 83 contact atom pairs <=5A",4,0.0022727272727272726
RCSB PDB,"E3:PDB experimental complex, 117 contact atom pairs <=5A",4,0.0022727272727272726
