complex_id,source,rna_hash,length_nt
PAIR:a48b26ea15d697cd693318e843f63217b3e341a3b00a2af334a61c1867a1601a,NPInter 主表,01311a48558a65dfb2c9398a02029e412a3beb5524a8de60c251c1933959bc28,361
PAIR:f433314311256f7378610631e31012e34d2937f6c5bb43fe6cc18ba9b4ee32ea,NPInter binding-site,038008e820197b3ea799b20ffe6ba1d50c6e6a7d55074bd79e9f921a293ddfbe,44
PAIR:1856fec3e600a6055c14c5b7b2f9d881d993662d3fd2c43805a309d62756d7cd,NPInter binding-site,76177ca25d796ccbaa02463650af35750dc829c078f2a62feb3b1894ba625bb1,90
PAIR:b19069008c25e168b341b5c8f6e4bf4a7b4fe3f597bc49a98d677628572bda06,NPInter binding-site,8ae40ce6bfbe1a12f101823e37b7508738c040066320183b58ed6931c973d055,45
PAIR:bb1ae1c4820de50bf23c8a6b33e3a1b8d85a38ed8f41002941114f65a5deaaf3,NPInter binding-site,4fd7d770fbef5a79ec3d8ed4f7ede48288e29a0ab23029621ea428c6d6f7303e,50
PAIR:3b4b34aeb52068d14886858a70d6e41199347fea9d37aa13fc78d82b92b99608,NPInter binding-site,4135effda3dd15160f6c7278baf6f200466fcd819d6dff8628b62f1b371ed550,48
PAIR:97bac32b8f6827d9cba9cd3bb0f1a07bb367876a257ce4b2d46ce19a7c435a2c,NPInter binding-site,84afdb2a5df0c68513b1e971f2568cc4092e520dc062b9cf1fe4b06620325d50,35
PAIR:4f91cc90d49471dcd503322e922a3fa080a9b403ca8868e6a1f4117bd108fc4d,NPInter binding-site,1ae01b88cbe66a5bcae1239ed5e1b0cd420ce38f2e7aab83a6458de395095ecb,18
PAIR:1e42bffa9929d4bade278a884f07c8a9621e133ce3019f57551d10a11028450e,NPInter binding-site,0511b01945a3a45fd56464501d73369c17bdfb5d0b9aa5717a816ba9cef3a791,101
PAIR:ce4a28f7963d3e8e63c85182c0f827598d75d9ec6efde1d1e55a3fe4a5ae5672,NPInter 主表,dd7f5a25f62c0541d0ccd2497116fb521332c63199a7b1d771bd17ae5390953e,351
